Date,VALUE,VOLUME
2018-06-29 16:08:21.097,186.33,200.0
2018-06-29 16:08:21.097,186.3,150.0
2018-06-29 16:08:21.097,186.3,86.0
2018-06-29 16:08:21.097,186.3,100.0
2018-06-29 16:08:21.097,186.31,100.0
2018-06-29 16:08:21.097,186.31,14.0
2018-06-29 16:08:21.097,186.31,100.0
2018-06-29 16:08:21.098,186.29,100.0
2018-06-29 16:08:21.098,186.33,100.0
2018-06-29 16:08:21.099,186.31,86.0
2018-06-29 16:08:21.099,186.31,100.0
2018-06-29 16:08:21.099,186.31,114.0
2018-06-29 16:08:21.099,186.33,100.0
2018-06-29 16:08:21.099,186.31,20.0
2018-06-29 16:08:21.099,186.31,80.0
2018-06-29 16:08:21.099,186.31,150.0
2018-06-29 16:08:21.099,186.33,100.0
2018-06-29 16:08:21.099,186.34,150.0
2018-06-29 16:08:21.099,186.34,1.0
2018-06-29 16:08:21.099,186.34,49.0
2018-06-29 16:08:21.099,186.32,100.0
2018-06-29 16:08:21.099,186.34,300.0
2018-06-29 16:08:21.099,186.34,151.0
2018-06-29 16:08:21.099,186.29,100.0
2018-06-29 16:08:21.099,186.31,20.0
2018-06-29 16:08:21.099,186.32,200.0
2018-06-29 16:08:21.099,186.32,100.0
2018-06-29 16:08:21.099,186.31,36.0
2018-06-29 16:08:21.099,186.31,2.0
2018-06-29 16:08:21.099,186.32,100.0
2018-06-29 16:08:21.099,186.31,100.0
2018-06-29 16:08:21.099,186.32,500.0
2018-06-29 16:08:21.099,186.32,100.0
2018-06-29 16:08:21.099,186.32,100.0
2018-06-29 16:08:21.099,186.33,100.0
2018-06-29 16:08:21.099,186.33,200.0
2018-06-29 16:08:21.099,186.33,100.0
2018-06-29 16:08:21.100,186.32,200.0
2018-06-29 16:08:21.100,186.32,100.0
2018-06-29 16:08:21.100,186.32,100.0
2018-06-29 16:08:21.100,186.32,200.0
2018-06-29 16:08:21.100,186.33,100.0
2018-06-29 16:08:21.100,186.32,100.0
2018-06-29 16:08:21.100,186.32,100.0
2018-06-29 16:08:21.100,186.32,100.0
2018-06-29 16:08:21.100,186.32,200.0
2018-06-29 16:08:21.101,186.32,100.0
2018-06-29 16:08:21.101,186.32,50.0
2018-06-29 16:08:21.101,186.32,50.0
2018-06-29 16:08:21.101,186.32,100.0
2018-06-29 16:08:21.101,186.33,50.0
2018-06-29 16:08:21.101,186.33,100.0
2018-06-29 16:08:21.101,186.33,100.0
2018-06-29 16:08:21.101,186.33,100.0
2018-06-29 16:08:21.103,186.33,200.0
2018-06-29 16:08:21.103,186.33,200.0
2018-06-29 16:08:21.103,186.33,300.0
2018-06-29 16:08:21.103,186.3,100.0
2018-06-29 16:08:21.103,186.33,20.0
2018-06-29 16:08:21.103,186.33,2.0
2018-06-29 16:08:21.105,186.33,100.0
2018-06-29 16:08:21.105,186.34,39.0
2018-06-29 16:08:21.106,186.33,98.0
2018-06-29 16:08:21.106,186.33,242.0
2018-06-29 16:08:21.106,186.33,158.0
2018-06-29 16:08:21.106,186.33,97.0
2018-06-29 16:08:21.106,186.33,50.0
2018-06-29 16:08:21.106,186.33,400.0
2018-06-29 16:08:21.106,186.33,500.0
2018-06-29 16:08:21.107,186.31,100.0
2018-06-29 16:08:21.107,186.31,100.0
2018-06-29 16:08:21.107,186.34,200.0
2018-06-29 16:08:21.107,186.34,100.0
2018-06-29 16:08:21.107,186.34,100.0
2018-06-29 16:08:21.107,186.32,100.0
2018-06-29 16:08:21.107,186.33,10.0
2018-06-29 16:08:21.107,186.33,10.0
2018-06-29 16:08:21.107,186.33,233.0
2018-06-29 16:08:21.107,186.33,2.0
2018-06-29 16:08:21.107,186.33,100.0
2018-06-29 16:08:21.107,186.33,100.0
2018-06-29 16:08:21.107,186.33,100.0
2018-06-29 16:08:21.107,186.35,100.0
2018-06-29 16:08:21.107,186.35,60.0
2018-06-29 16:08:21.107,186.32,100.0
2018-06-29 16:08:21.107,186.35,100.0
2018-06-29 16:08:21.108,186.35,100.0
2018-06-29 16:08:21.108,186.33,62.0
2018-06-29 16:08:21.109,186.33,38.0
2018-06-29 16:08:21.109,186.34,62.0
2018-06-29 16:08:21.109,186.34,100.0
2018-06-29 16:08:21.109,186.34,10.0
2018-06-29 16:08:21.109,186.34,790.0
2018-06-29 16:08:21.109,186.34,138.0
2018-06-29 16:08:21.109,186.34,200.0
2018-06-29 16:08:21.109,186.34,100.0
2018-06-29 16:08:21.111,186.32,100.0
2018-06-29 16:08:21.112,186.32,100.0
2018-06-29 16:08:21.113,186.33,100.0
2018-06-29 16:08:21.113,186.33,400.0
2018-06-29 16:08:21.114,186.33,100.0
2018-06-29 16:08:21.115,186.34,100.0
2018-06-29 16:08:21.115,186.33,100.0
2018-06-29 16:08:21.116,186.34,100.0
2018-06-29 16:08:21.118,186.34,210.0
2018-06-29 16:08:21.118,186.34,300.0
2018-06-29 16:08:21.118,186.34,90.0
2018-06-29 16:08:21.119,186.34,100.0
2018-06-29 16:08:21.119,186.33,10.0
2018-06-29 16:08:21.120,186.34,10.0
2018-06-29 16:08:21.120,186.34,290.0
2018-06-29 16:08:21.120,186.34,100.0
2018-06-29 16:08:21.121,186.34,100.0
2018-06-29 16:08:21.121,186.34,200.0
2018-06-29 16:08:21.121,186.34,200.0
2018-06-29 16:08:21.122,186.33,20.0
2018-06-29 16:08:21.123,186.33,100.0
2018-06-29 16:08:21.126,186.34,300.0
2018-06-29 16:08:21.128,186.34,10.0
2018-06-29 16:08:21.128,186.34,100.0
2018-06-29 16:08:21.128,186.33,70.0
2018-06-29 16:08:21.132,186.33,100.0
2018-06-29 16:08:21.133,186.33,100.0
2018-06-29 16:08:21.137,186.34,10.0
2018-06-29 16:08:21.137,186.34,160.0
2018-06-29 16:08:21.138,186.33,200.0
2018-06-29 16:08:21.139,186.34,100.0
2018-06-29 16:08:21.139,186.34,100.0
2018-06-29 16:08:21.140,186.34,100.0
2018-06-29 16:08:21.140,186.35,100.0
2018-06-29 16:08:21.140,186.34,100.0
2018-06-29 16:08:21.140,186.34,100.0
2018-06-29 16:08:21.144,186.34,100.0
2018-06-29 16:08:21.144,186.34,100.0
2018-06-29 16:08:21.147,186.33,100.0
2018-06-29 16:08:21.147,186.33,25.0
2018-06-29 16:08:21.148,186.34,10.0
2018-06-29 16:08:21.149,186.34,80.0
2018-06-29 16:08:21.154,186.33,75.0
2018-06-29 16:08:21.154,186.34,11.0
2018-06-29 16:08:21.155,186.33,40.0
2018-06-29 16:08:21.164,186.33,100.0
2018-06-29 16:08:21.169,186.33,2.0
2018-06-29 16:08:21.169,186.33,100.0
2018-06-29 16:08:21.169,186.34,100.0
2018-06-29 16:08:21.169,186.35,200.0
2018-06-29 16:08:21.169,186.35,100.0
2018-06-29 16:08:21.169,186.35,100.0
2018-06-29 16:08:21.170,186.33,100.0
2018-06-29 16:08:21.171,186.34,80.0
2018-06-29 16:08:21.183,186.34,10.0
2018-06-29 16:08:21.184,186.34,100.0
2018-06-29 16:08:21.185,186.35,100.0
2018-06-29 16:08:21.185,186.35,100.0
2018-06-29 16:08:21.185,186.35,100.0
2018-06-29 16:08:21.185,186.34,100.0
2018-06-29 16:08:21.185,186.34,100.0
2018-06-29 16:08:21.186,186.34,10.0
2018-06-29 16:08:21.188,186.33,70.0
2018-06-29 16:08:21.188,186.33,30.0
2018-06-29 16:08:21.188,186.33,100.0
2018-06-29 16:08:21.188,186.33,70.0
